,workflowId,time0,coldState_groupId,coldState_fixedStartTime
15,wflow_sbm_lasvacas_20210901,13/08/2022 00:00:00,,
16,wflow_sbm_lasvacas_20210901,18/08/2022 00:00:00,,
17,wflow_sbm_lasvacas_20210901,23/08/2022 00:00:00,,
18,wflow_sbm_lasvacas_20210901,28/08/2022 00:00:00,,
19,wflow_sbm_lasvacas_20210901,02/09/2022 00:00:00,,
20,wflow_sbm_lasvacas_20210901,07/09/2022 00:00:00,,
21,wflow_sbm_lasvacas_20210901,12/09/2022 00:00:00,,
22,wflow_sbm_lasvacas_20210901,17/09/2022 00:00:00,,
0,wflow_sbm_lempa_20210326,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_lempa_20210326,04/06/2022 00:00:00,,
2,wflow_sbm_lempa_20210326,09/06/2022 00:00:00,,
3,wflow_sbm_lempa_20210326,14/06/2022 00:00:00,,
4,wflow_sbm_lempa_20210326,19/06/2022 00:00:00,,
5,wflow_sbm_lempa_20210326,24/06/2022 00:00:00,,
6,wflow_sbm_lempa_20210326,29/06/2022 00:00:00,,
7,wflow_sbm_lempa_20210326,04/07/2022 00:00:00,,
8,wflow_sbm_lempa_20210326,09/07/2022 00:00:00,,
9,wflow_sbm_lempa_20210326,14/07/2022 00:00:00,,
10,wflow_sbm_lempa_20210326,19/07/2022 00:00:00,,
11,wflow_sbm_lempa_20210326,24/07/2022 00:00:00,,
12,wflow_sbm_lempa_20210326,29/07/2022 00:00:00,,
13,wflow_sbm_lempa_20210326,03/08/2022 00:00:00,,
14,wflow_sbm_lempa_20210326,08/08/2022 00:00:00,,
15,wflow_sbm_lempa_20210326,13/08/2022 00:00:00,,
16,wflow_sbm_lempa_20210326,18/08/2022 00:00:00,,
17,wflow_sbm_lempa_20210326,23/08/2022 00:00:00,,
18,wflow_sbm_lempa_20210326,28/08/2022 00:00:00,,
19,wflow_sbm_lempa_20210326,02/09/2022 00:00:00,,
20,wflow_sbm_lempa_20210326,07/09/2022 00:00:00,,
21,wflow_sbm_lempa_20210326,12/09/2022 00:00:00,,
22,wflow_sbm_lempa_20210326,17/09/2022 00:00:00,,
0,wflow_sbm_meuse_20210730,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_meuse_20210730,04/06/2022 00:00:00,,
2,wflow_sbm_meuse_20210730,09/06/2022 00:00:00,,
3,wflow_sbm_meuse_20210730,14/06/2022 00:00:00,,
4,wflow_sbm_meuse_20210730,19/06/2022 00:00:00,,
5,wflow_sbm_meuse_20210730,24/06/2022 00:00:00,,
6,wflow_sbm_meuse_20210730,29/06/2022 00:00:00,,
7,wflow_sbm_meuse_20210730,04/07/2022 00:00:00,,
8,wflow_sbm_meuse_20210730,09/07/2022 00:00:00,,
9,wflow_sbm_meuse_20210730,14/07/2022 00:00:00,,
10,wflow_sbm_meuse_20210730,19/07/2022 00:00:00,,
11,wflow_sbm_meuse_20210730,24/07/2022 00:00:00,,
12,wflow_sbm_meuse_20210730,29/07/2022 00:00:00,,
13,wflow_sbm_meuse_20210730,03/08/2022 00:00:00,,
14,wflow_sbm_meuse_20210730,08/08/2022 00:00:00,,
15,wflow_sbm_meuse_20210730,13/08/2022 00:00:00,,
16,wflow_sbm_meuse_20210730,18/08/2022 00:00:00,,
